time,open,high,low,close,volume
2022/06/27-14:35,4446.61,4452.66,4446.49,4452.45,513481
2022/06/27-14:40,4452.7,4455.76,4452.59,4455.2,540062
2022/06/27-14:45,4454.7,4454.7,4448.33,4448.83,571518
2022/06/27-14:50,4448.91,4450.17,4445.23,4445.5,645168
2022/06/27-14:55,4445.63,4445.63,4442.33,4443.45,763360
2022/06/27-15:00,4443.72,4444.26,4441.85,4444.26,768105
2022/06/28-09:35,4442.58,4442.58,4427.29,4427.93,2158799
2022/06/28-09:40,4428.29,4428.29,4421.22,4423.88,1517307
2022/06/28-09:45,4423.8,4425.41,4416.97,4423.13,1333737
2022/06/28-09:50,4423.18,4423.18,4417.09,4418.85,1144260
2022/06/28-09:55,4418.7,4418.73,4410.75,4414.49,1122892
2022/06/28-10:00,4414.81,4422.42,4414.3,4421.19,910524
2022/06/28-10:05,4421.47,4426.01,4421.47,4422.36,932322
